descrizione;likes;retweets;data
#Covid, #Gelmini: 'Sono positiva, supereremo anche questa'. La capogruppo di Forza Italia alla Camera lo scrive su Facebook:  'Sto bene, al momento non ho alcun sintomo' #ANSA https://t.co/RieJmTAXtU;24;7;2020-10-15 07:56
In sei a cena, si scatena l'#ironia dei #social. Da Biancaneve e i 7 nani, a 007, all'irruzione delle forze speciali durante una festa così il popolo della rete risponde alle misure contenute nel #Dpcm #Covid #ANSA https://t.co/C6vZGf8snf;52;15;2020-10-15 08:09
RT @AnsaScienza: #COVID__19  il rapporto positivi-tamponi sale al 5,4% Sestili, aumenta anche il tempo di raddoppiodei  casi, ora è di 6 gi…;0;11;2020-10-15 08:56
#Covid: #Franceschini, 'Oggi vertice per nuove misure'. Zampa: 'Chiusura scuole ultima ratio' #ANSA https://t.co/RWJnWLfQ8L;16;7;2020-10-15 09:05
#Covid, Il governatore del #Piemonte #Cirio chiede  test rapidi ai valichi di confine con la #Francia 'per garantire il presidio massimo e assoluto dei territori'. #ANSA #15ottobre  https://t.co/Kylk582kA2;30;8;2020-10-15 09:25
#Covid La #Scala rinvia la presentazione della stagione 2O20-2021 Confermati gli spettacoli in programma fino al 19 ottobre #ANSA https://t.co/ki6S28Irag;20;9;2020-10-15 09:38
"#Coronavirus: record di morti in #Russia, 286 in 24 ore Allarme #positivi anche in #Germania, #Londra passerà al livello di ""allerta alta"" da sabato. #ANSA #15ottobre #coprifuoco https://t.co/DB3pjhHbEB https://t.co/KkTD7YKcnk";26;18;2020-10-15 09:48
#Covid Nuovo record in #Germania, oltre 7.300 casi È il secondo giorno consecutivo che Berlino registra numeri così alti #ANSA https://t.co/91nx7EjRsl;11;12;2020-10-15 10:01
#Covid, blocco stradale nel Napoletano contro il minilockdown.  Fino al 23 ottobre dopo impennata #contagi #ANSA #15ottobre #lockdown  https://t.co/pq7UtMEEZL;11;6;2020-10-15 10:02
Visco, ritorno all'economia pre-Covid non prima di due anni. Dati Pil 3.trimestre migliori del previsto. Italia usi bene #Recovery #ANSA https://t.co/r5y7Vjjy8z;6;6;2020-10-15 10:04
#Covid: #Europa in allerta i leader accelerano su #test e #tracciamento. Conte: 'Avrò confronto periodico con gli altri leader'.#ANSA https://t.co/jkf1gmu23G;10;4;2020-10-15 10:04
