descrizione,likes,retweets,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#covid 'Oggi sono mareggiate rispetto allo #tsunami di marzo' dice il viceministro al @MinisteroSalute  @piersileri  che raccomanda 'al chiuso sempre la #mascherina, anche in #palestra' @1giornodapecora  @RaiRadio1 #ANSA
https://t.co/RdGqe26MZR",14,3,2020-10-19,15:47:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#covid, nuovo forte aumento dei contagi in #Campania 1.593 rispetto a 1.376 in 24 ore con meno tamponi. Ventuno morti dal primo al 17 ottobre #ANSA
https://t.co/lavrrUnO57",19,12,2020-10-19,15:33:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid  i casi scendono sotto i 10mila, sono 9.338 I nuovi positivi in 24 ore. Calano i tamponi, 73 i morti #ANSA #coronavirus
https://t.co/U9LKtBgINI",33,11,2020-10-19,15:30:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La,cantante,Nina,Zilli,positiva,al,#covid.,'Io,contagiata,forse,a,cena.,Attenti,ai,luoghi,chiusi,e,affollati',#ANSA,#coronavirus,,https://t.co/uUzbQ9AeaY,https://t.co/xmWJ2AIvpO,86,43,2020-10-19,14:54:32,,,,,,,,,,,,,,,,,,,,,,
"Kim Kardashian, 40 anni per la più famosa del mondo Da reality star a imprenditrice milionaria. Ma il Covid rovina la festa #ANSA
https://t.co/3Ib1Zs25vk https://t.co/Q8vJ0YLQtJ",9,3,2020-10-19,14:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid, Galli: ""Paghiamo il calo d'attenzione iniziato in estate"" VIDEO #ANSA
https://t.co/yj3fhyGJBa",286,68,2020-10-19,14:36:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#covid,,#Locatelli,'Le,prime,vaccinazioni,la,prossima,primavera.,Si,comincerà,dalle,categorie,fragili,,,il,personale,sanitario,le,forze,dell'ordine',#ANSA,'https://t.co/FvMNyHv3eU,31,14,2020-10-19,12:36:42,,,,,,,,,,,,,,,,,,,,,
"Nel 2020, tra i 26 Stati membri dell'#Ue si sono verificati 168mila decessi in più durante le settimane tra marzo e giugno rispetto al numero medio dello stesso periodo nel quadriennio 2016-2019. Lo rende noto #Eurostat. #ANSA #19ottobre
https://t.co/ubzkBh05t6",17,20,2020-10-19,12:13:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Viminale, se urgente la chiusura è possibile nell'arco delle 24 ore. 'Importante è che l'ordinanza sia notificata ai locali'. #ANSA #19ottobre  @Viminale  #sindaci #covid
https://t.co/koSCzrasOI https://t.co/tcG2haOKqv",7,9,2020-10-19,11:10:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#dpcm #sindaci sul piede di guerra dopo la stretta anti-covid. Il presidente #Anci @Antonio_Decaro :'Non si capisce chi deve fare cosa'. Il sindaco di Bergamo @giorgio_gori :'Chiusure inapplicabili' #covid #coronavirus #ANSA
https://t.co/nJDB9jtx2o",14,8,2020-10-19,10:20:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I #sindaci insorgono contro il nuovo dpcm 'Scaricate su di noi tutte le responsabilità, la polizia locale non si occupa di #covid', dice il presidente dell'#Anci #Decaro.  #ANSA  #19ottobre - #conferenzaconte  #sindaci @Antonio_Decaro
https://t.co/f0OkCB3GaN",31,8,2020-10-19,09:21:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dal nuovo Dpcm scompare la parola 'sindaci' per le restrizioni anti-movida. 
#ANSA #19ottobre  #sindaci - #conferenzaconte #covid #lockdown https://t.co/ncx0Olqg4A",22,16,2020-10-19,08:50:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sono oltre 40 milioni i casi di #coronavirus nel mondo dall'inizio della #pandemia, secondo l'Afp.  I Paesi più colpiti sono gli Stati Uniti con 8.154.935 contagi, l'India con 7.550.273 e il Brasile 5.235.344.
#ANSA #19ottobre #epidemia #virus
https://t.co/I3MuIfeJCG",12,10,2020-10-19,08:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L'economia cinese allunga il passo nella fase post #Covid-19 e
segna nel terzo trimestre del 2020 un #Pil in crescita annua del
4,9%. Per l'Fmi è l'unico paese in crescita nel 2020. #ANSA #19ottobre
https://t.co/ynbySF7lip",137,67,2020-10-19,07:38:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Covid,#Conte,conferisce,più,poteri,ai,#sindaci,con,il,nuovo,#dpcm,@GiuseppeConteIT,VIDEO,#ANSA,https://t.co/jhiZ50K3KU,43,17,2020-10-19,07:22:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Il,testo,del,nuovo,#dpcm,con,le,norme,anti,contagio,da,#Covid,in,vigore,da,oggi,#ANSA,https://t.co/CB4bcS59lh,30,17,2020-10-19,06:49:35,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Covid,Medici,,#Erekat,è,in,coma,#ANSA,https://t.co/oDLma5OpSk,12,6,2020-10-19,06:46:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Il Dpcm scade il 13/11. Da mercoledì ingresso nelle scuole superiori dalle 9. Norme valgono da oggi ma rafforzamento Dad superiori dal 21/10 . #ANSA #19ottobre  #sindaci #Dpcm 
@GiuseppeConteIT 
https://t.co/GA3nv6Z9ld",15,12,2020-10-19,06:33:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Covid: ancora casi in aumento, 11.705. I decessi sono 69. In Lombardia ""situazione critica""
#ANSA https://t.co/7oKfDMm1ox",16,13,2020-10-19,05:20:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Influencer ucraino negazionista muore di Covid a 33 anni
#ANSA https://t.co/DVOO9SXtRF",28,18,2020-10-19,05:15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dpcm, Conte: 'Non faccio previsioni sulle ferie natalizie., massima precauzione con parenti e amici'
#ANSA https://t.co/mQZ0JwXznS",68,28,2020-10-18,20:08:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🔴Conte: 'Mes solo se serve per fabbisogno di cassa. non perdere tempo per scongiurare il lockdown'
#dpcm #conferenzastampa #ANSA https://t.co/wjhSTu5Lqw",17,9,2020-10-18,19:58:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🔴Conte: 'I sindaci possono chiudere le piazze. Una settimana alle palestre per allinearsi a protocolli. Attività didattiche in presenza
#dpcm #conferenzastampa #ANSA https://t.co/skihBZIJUP",114,68,2020-10-18,19:46:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🔴 DPCM, tra pochi minuti la conferenza stampa del premier Conte in diretta. - TUTTE LE NOVITA' NELLA BOZZA 
#ANSA https://t.co/j66GLpklsj",15,3,2020-10-18,19:35:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#DPCM, tutte le novità della bozza: dalle zone rosse ai turni per le scuole alle norme per bar e ristoranti. Attesa per la #conferenzastampa del presidente Conte. 
#ANSA https://t.co/ma1na13PR7",38,18,2020-10-18,18:56:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Calcio #SerieA segui la #direttagol di #RomaBenevento. Udinese all'ultimo respiro, 3-2 al Parma. Pussetto decide match allo scadere. Emiliani decimati dal #Covid #ANSA
https://t.co/3ogkKwt9Ta",3,1,2020-10-18,18:42:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dpcm, nuove misure anti covid. Tensione su scuola e palestre. Ora nuovo punto con le Regioni. Attesa per la conferenza stampa del presidente Conte
#ANSA",114,23,2020-10-18,18:30:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dpcm, nuove misure anti covid. Tensione su scuola e palestre. Tra poco la conferenza stampa del presidente Conte
#ANSA https://t.co/y7yQ9EiyWa",34,14,2020-10-18,17:54:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Influencer ucraino negazionista muore di Covid a 33 anni. 'Dicevo non esistesse, state in guardia', scriveva dall'ospedale
#ANSA https://t.co/sBSMrGuCus",148,99,2020-10-18,17:30:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distinguere il Covid dall'influenza, lo Spallanzani sperimenterà un test
#ANSA https://t.co/iJyHd95rf3",106,50,2020-10-18,17:17:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distinguere Covid da influenza, Spallanzani sperimenterà test
Assessore Lazio, ""presto al via, se validato sarà preziosissimo"" #ANSA
https://t.co/NhkCqk4Y9f",79,36,2020-10-18,16:34:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
